,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
1969(高砂熱),13.08,1.09,2.83,8.32,4.06,143.85,7.9,-1.87,5.0,0.0,48.73,-2.88,-2.51,274.4,20.47,0.78,42.73,0.52,4,7,8,5,5,8,62/100
1971(ビルト工),23.34,0.6,0.0,2.56,0.82,1.47,,8.9,1.16,0.0,31.83,0.25,0.03,0.31,12.88,0.14,55.56,72.8,7,5,1,5,2,3,38/100
1972(三晃金),7.84,0.48,4.14,6.11,4.01,9.57,-28.0,-2.72,5.42,0.0,65.65,-2.98,2.37,15.19,28.92,0.3,35.0,7.25,2,9,2,5,9,8,58/100
1973(ＮＥＳＩＣ),17.61,2.28,2.01,12.94,6.39,281.77,1.99,4.95,8.12,0.0,49.41,-5.59,-7.49,653.87,33.82,0.94,35.64,0.43,8,6,9,7,5,3,63/100
1975(朝日工),16.75,0.67,3.01,4.01,1.89,22.61,-17.14,-2.84,2.63,0.0,47.09,-1.39,-1.8,24.26,20.32,0.72,43.59,0.06,2,7,3,5,5,7,48/100
1976(明星工),10.72,0.7,3.74,6.57,5.15,38.07,-21.39,-1.79,10.6,-2.09,78.35,-7.47,-12.74,50.5,20.65,0.64,20.61,2.5,3,10,5,5,10,5,63/100
1979(大気社),16.62,0.82,3.52,4.96,2.62,99.7,-18.61,-3.04,4.88,-13.29,52.89,-13.61,-16.64,133.01,37.38,0.93,20.05,-1.05,2,9,7,9,6,3,60/100
1980(ダイダン),9.55,0.67,4.16,6.97,3.93,49.66,-16.86,2.72,4.58,0.0,56.45,-10.72,-17.28,37.53,24.32,0.89,25.84,1.02,5,10,5,6,7,3,60/100
1981(協和日成),18.19,0.96,1.75,5.27,3.41,16.19,-19.4,0.29,3.69,0.0,64.71,3.52,6.85,0.92,27.7,0.04,68.1,,3,4,2,7,8,7,52/100
1982(日比谷設),13.73,0.79,4.16,5.73,4.06,48.04,8.81,3.27,6.49,0.0,70.87,-0.2,-0.0,29.86,21.42,0.56,52.45,0.55,6,7,5,4,9,9,67/100
1992(神田通機),23.02,0.67,1.75,2.91,1.6,2.99,-61.27,-1.06,3.67,0.0,54.96,0.82,10.12,1.44,25.39,0.8,50.39,9.48,2,3,1,6,7,6,42/100
1994(高橋ウォール),5.03,0.66,3.78,13.03,9.89,6.31,107.88,19.03,16.17,0.0,75.92,-1.24,-0.19,2.52,13.67,0.43,42.0,29.36,10,10,1,3,10,4,63/100
1997(暁飯島工業),9.4,0.66,2.63,7.02,4.56,3.76,-38.38,0.25,8.03,0.0,64.94,-2.18,3.27,1.39,17.45,-0.02,35.19,16.72,3,8,1,5,9,8,57/100
1999(サイタＨＤ),4.82,0.5,2.06,10.31,5.65,1.93,-25.39,-1.8,9.84,2.11,54.81,-1.15,2.74,0.07,29.56,0.07,0.0,,3,10,1,6,7,6,55/100
2001(ニップン),14.1,0.77,2.24,5.48,2.92,126.91,0.63,-1.53,3.97,0.0,53.33,-1.08,-1.39,96.98,12.64,0.33,44.9,-0.38,3,7,7,5,6,9,62/100
2002(日清粉Ｇ),27.19,1.21,2.26,4.46,2.81,524.71,4.73,6.24,4.67,0.0,63.0,-4.87,-5.42,989.86,16.45,0.52,32.95,0.0,7,5,9,7,7,8,72/100
2003(日東富士),10.35,0.81,3.99,7.83,5.92,32.1,-10.48,1.28,7.89,0.0,75.62,5.08,3.01,13.45,19.64,0.39,70.71,1.5,5,7,4,4,9,10,65/100
2004(昭和産),15.83,0.95,2.33,6.02,2.81,94.96,-2.31,3.09,3.21,0.0,46.7,-0.92,-1.65,104.38,12.28,0.32,44.08,0.41,5,6,7,4,4,10,60/100
2009(鳥越粉),28.87,0.62,1.86,2.13,1.74,19.63,4.4,-0.03,4.51,0.0,81.75,-0.88,-3.44,19.23,15.55,0.57,39.66,2.34,3,6,3,3,10,8,55/100
2031(ハンセンブル),,,,,,0.92,,,,0.0,,-0.64,-0.33,6.25,41.25,1.43,38.24,5.33,5,5,1,4,5,4,40/100
2032(ハンセンベア),,,,,,0.36,,,,0.0,,0.74,2.52,2.2,22.46,-0.54,55.56,7.89,5,5,1,7,5,7,50/100
2033(コスピブル),,,,,,0.93,,,,0.0,,-3.94,-11.11,0.53,40.05,1.64,35.35,1.28,5,5,1,6,5,2,40/100
2034(コスピベア),,,,,,0.96,,,,0.0,,2.12,6.51,5.93,12.63,-0.51,63.64,12.07,5,5,1,5,5,9,50/100
2035(日経ＶＩ),,,,,,3.76,,,,0.0,,-11.46,-22.48,73.5,36.64,-1.45,18.52,6.98,5,5,2,8,5,1,43/100
2036(金先物Ｗブル),,,,,,4.97,,,,0.0,,7.9,12.28,22.99,20.51,0.21,71.12,8.74,5,5,1,4,5,10,50/100
2037(金先物ベア),,,,,,0.52,,,,0.0,,-3.75,-5.89,2.33,12.52,-0.11,27.03,6.82,5,5,1,4,5,8,47/100
2038(原油先Ｗブル),,,,,,133.65,,,,0.0,,-3.32,18.2,5745.26,51.91,1.57,40.06,1.35,5,5,9,8,5,2,57/100
2039(原油先物ベア),,,,,,2.7,,,,0.0,,0.61,-11.37,142.24,24.09,-0.78,56.92,2.41,5,5,2,6,5,6,48/100
2040(ＮＹダウブル),,,,,,15.34,,,,0.0,,3.66,4.96,171.21,21.15,1.18,70.91,2.04,5,5,4,6,5,8,55/100
2041(ＮＹダウベア),,,,,,4.51,,,,0.0,,-1.77,-3.3,49.57,12.18,-0.61,26.53,5.09,5,5,2,4,5,8,48/100
2042(マザーズＥＮ),,,,,,5.96,,,,0.0,,-0.24,0.33,20.47,25.32,0.87,52.17,3.42,5,5,2,5,5,7,48/100
