,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
2043(アセアン５０),,,,,,0.82,,,,0.0,,0.07,4.7,0.11,15.73,0.56,38.89,,5,5,1,7,5,7,50/100
2044(米国配当貴族),,,,,,40.56,,,,0.0,,3.29,5.69,24.28,15.42,0.56,65.15,0.27,5,5,4,7,5,9,58/100
2045(Ｓリート),,,,,,0.72,,,,0.0,,2.08,3.76,0.19,16.51,0.44,57.66,1.52,5,5,1,6,5,8,50/100
2046(インドブル),,,,,,6.93,,,,0.0,,-1.52,9.33,130.6,30.32,1.49,41.23,3.18,5,5,2,7,5,4,47/100
2047(インドベア),,,,,,0.23,,,,0.0,,1.61,-1.86,2.3,16.19,-0.4,53.85,1.76,5,5,1,4,5,8,47/100
2048(高配株米ドル),,,,,,3.46,,,,0.0,,-2.39,0.98,0.42,17.92,0.83,29.85,,5,5,1,7,5,6,48/100
2050(ＮＴ中小型),,,,,,0.76,,,,0.0,,-1.8,-1.88,0.0,14.38,0.6,22.45,,5,5,1,5,5,8,48/100
2053(中部飼),7.68,0.53,2.89,6.88,4.66,31.5,1.85,-1.72,3.3,0.0,67.79,-5.25,-7.49,73.68,19.37,0.75,30.67,2.27,4,10,5,4,8,5,60/100
2055(日和産),21.67,0.37,1.92,1.69,1.08,6.5,31.93,-0.9,1.25,0.0,63.81,1.42,-2.0,2.54,21.18,0.38,50.0,12.98,4,7,1,4,8,5,48/100
2058(ヒガシマル),16.07,0.81,1.01,5.06,2.2,4.24,515.79,0.95,3.72,0.0,43.54,-0.92,-3.1,0.36,12.35,0.18,34.48,,8,7,1,5,3,3,45/100
2060(フィードワン),8.59,0.75,3.11,8.75,3.73,31.78,-11.2,0.42,2.5,0.0,42.61,6.4,6.42,39.16,20.28,0.5,76.0,3.45,4,8,4,5,3,5,48/100
2065(日本配当貴族),,,,,,0.69,,,,0.0,,1.29,4.59,0.01,14.71,0.57,51.88,,5,5,1,7,5,8,52/100
2066(東証ＲＥＩＴ),,,,,,1.44,,,,0.0,,-0.16,1.21,0.01,11.65,0.25,0.0,,5,5,1,5,5,9,50/100
2067(野村ＡＩ７０),,,,,,3.9,,,,0.0,,-0.92,0.79,0.84,17.52,0.94,40.58,0.06,5,5,1,5,5,7,47/100
2068(高ベータ３０),,,,,,1.41,,,,0.0,,1.26,2.0,0.11,28.42,0.96,100.0,1.21,5,5,1,8,5,4,47/100
2069(低ベータ５０),,,,,,1.35,,,,0.0,,0.48,2.31,,12.55,0.19,100.0,,5,5,1,8,5,8,53/100
2070(ＥＳＧ女活),,,,,,7.3,,,,0.0,,-1.32,-1.12,0.81,12.92,0.74,40.38,0.59,5,5,1,5,5,8,48/100
2071(ＥＳＧ総合),,,,,,12.1,,,,0.0,,0.6,3.14,23.62,18.55,0.98,55.24,0.23,5,5,2,8,5,6,52/100
2072(トップシェア),,,,,,10.3,,,,0.0,,-0.48,-1.45,4.93,13.87,0.76,50.79,0.42,5,5,2,3,5,9,48/100
2107(東洋糖),11.55,0.67,3.01,5.84,4.92,6.35,-13.0,-2.18,6.17,0.0,84.16,-0.77,-1.64,1.32,8.46,0.12,49.45,7.21,2,8,1,2,10,9,53/100
2108(甜菜糖),22.95,0.37,3.04,1.61,1.13,25.24,10.69,0.52,4.42,5.79,70.3,-0.06,-0.19,12.26,11.97,0.32,50.78,2.33,4,6,3,3,9,10,58/100
2109(ＤＭ三井製糖),24.74,0.75,3.04,3.05,1.77,64.33,-12.88,13.19,2.2,0.0,58.08,-2.16,-0.29,82.31,17.03,0.48,41.91,0.47,7,5,6,6,7,8,65/100
2112(塩水糖),20.62,0.77,2.29,3.73,1.36,7.63,-52.12,-3.57,2.27,0.0,36.43,-1.57,-1.91,4.82,9.71,0.53,38.46,5.52,1,6,1,4,3,5,33/100
2114(フジ日本),16.81,0.92,1.95,5.44,4.26,16.81,-15.3,-0.39,7.73,0.0,78.24,0.39,1.31,1.84,3.89,0.03,61.9,3.27,3,5,2,7,9,7,55/100
2117(日新製糖),27.42,0.79,3.9,2.88,2.28,38.39,-13.58,-1.95,4.67,0.0,79.17,-0.64,-0.71,12.62,12.62,0.46,45.54,1.03,2,4,4,2,10,10,53/100
2120(ＬＩＦＵＬＬ),23.25,1.41,1.11,6.07,3.68,47.25,39.66,3.9,7.8,0.0,60.55,-2.63,0.27,90.08,21.17,0.98,33.85,1.22,7,3,6,5,7,5,55/100
2121(ミクシィ),68.93,0.92,4.99,1.33,1.1,172.34,-91.31,-9.62,1.9,-26.87,83.17,-13.56,-15.14,952.47,43.92,0.78,29.95,0.42,1,5,8,9,10,7,67/100
2122(インタスペス),17.55,1.35,1.89,7.7,4.09,7.37,1.76,-30.35,9.07,0.0,53.04,4.0,2.28,3.07,28.06,0.38,67.5,60.02,1,4,1,5,6,7,40/100
2124(ジェイエイシ),27.76,6.39,3.19,23.52,17.96,90.93,-2.17,-0.75,22.63,0.0,76.36,-1.68,9.06,115.43,26.93,1.34,48.75,-0.01,6,1,7,7,9,8,63/100
2127(日本Ｍ＆Ａ),94.82,26.44,0.51,27.88,22.68,1194.78,8.83,11.08,46.15,0.0,81.34,2.83,6.34,2306.83,31.2,0.92,57.23,0.26,10,1,10,7,10,10,80/100
