,0
1294,2700
1295,2700
1296,2702
1297,2702
1298,2705
1299,2705
1300,2706
1301,2706
1302,2708
1303,2708
1304,2715
1305,2715
1306,2721
1307,2721
1308,2722
1309,2722
1310,2726
1311,2726
1312,2729
1313,2729
1314,2730
1315,2730
1316,2733
1317,2733
1318,2734
1319,2734
1320,2735
1321,2735
1322,2736
1323,2736
1324,2737
1325,2737
1326,2742
1327,2742
1328,2743
1329,2743
1330,2747
1331,2747
1332,2749
1333,2749
1334,2750
1335,2750
1336,2751
1337,2751
1338,2752
1339,2752
1340,2753
1341,2753
1342,2754
1343,2754
1344,2760
1345,2760
1346,2761
1347,2761
1348,2762
1349,2762
1350,2763
1351,2763
1352,2764
1353,2764
1354,2767
1355,2767
1356,2768
1357,2768
1358,2769
1359,2769
1360,2773
1361,2773
1362,2776
1363,2776
1364,2777
1365,2777
1366,2778
1367,2778
1368,2780
1369,2780
1370,2782
1371,2782
1372,2784
1373,2784
1374,2788
1375,2788
1376,2789
1377,2789
1378,2790
1379,2790
1380,2791
1381,2791
1382,2792
1383,2792
1384,2795
1385,2795
1386,2796
1387,2796
1388,2798
1389,2798
1390,2801
1391,2801
1392,2802
1393,2802
1394,2804
1395,2804
1396,2805
1397,2805
1398,2806
1399,2806
1400,2809
1401,2809
1402,2810
1403,2810
1404,2811
1405,2811
1406,2812
1407,2812
1408,2813
1409,2813
1410,2814
1411,2814
1412,2815
1413,2815
1414,2816
1415,2816
1416,2818
1417,2818
1418,2819
1419,2819
1420,2820
1421,2820
1422,2830
1423,2830
1424,2831
1425,2831
1426,2871
1427,2871
1428,2872
1429,2872
1430,2874
1431,2874
1432,2875
1433,2875
1434,2876
1435,2876
1436,2877
1437,2877
1438,2882
1439,2882
1440,2883
1441,2883
1442,2884
1443,2884
1444,2892
1445,2892
1446,2894
1447,2894
1448,2897
1449,2897
1450,2899
1451,2899
1452,2901
1453,2901
1454,2902
1455,2902
1456,2903
1457,2903
1458,2904
1459,2904
1460,2905
1461,2905
1462,2907
1463,2907
1464,2908
1465,2908
1466,2910
1467,2910
1468,2911
1469,2911
1470,2914
1471,2914
1472,2915
1473,2915
1474,2916
1475,2916
1476,2917
1477,2917
1478,2918
1479,2918
1480,2919
1481,2919
1482,2922
1483,2922
1484,2923
1485,2923
1486,2924
1487,2924
1488,2925
1489,2925
1490,2926
1491,2926
1492,2927
1493,2927
1494,2928
1495,2928
1496,2929
1497,2929
1498,2930
1499,2930
1500,2931
1501,2931
1502,2932
1503,2932
1504,2933
1505,2933
1506,2934
1507,2934
1508,2961
1509,2961
1510,2970
1511,2970
1512,2971
1513,2971
1514,2972
1515,2972
1516,2974
1517,2974
1518,2975
1519,2975
1520,2976
1521,2976
1522,2978
1523,2978
1524,2979
1525,2979
1526,2980
1527,2980
1528,2981
1529,2981
1530,2982
1531,2982
1532,2983
1533,2983
1534,2986
1535,2986
1536,2987
1537,2987
1538,2989
1539,2989
1540,2991
1541,2991
1542,3001
1543,3001
1544,3002
1545,3002
1546,3003
1547,3003
1548,3004
1549,3004
1550,3010
1551,3010
1552,3011
1553,3011
1554,3020
1555,3020
1556,3021
1557,3021
1558,3023
1559,3023
1560,3024
1561,3024
1562,3028
1563,3028
1564,3030
1565,3030
1566,3031
1567,3031
1568,3032
1569,3032
1570,3034
1571,3034
1572,3035
1573,3035
1574,3036
1575,3036
1576,3038
1577,3038
1578,3040
1579,3040
1580,3041
1581,3041
1582,3042
1583,3042
1584,3045
1585,3045
1586,3046
1587,3046
1588,3047
1589,3047
1590,3048
1591,3048
1592,3050
1593,3050
1594,3053
1595,3053
1596,3054
1597,3054
1598,3055
1599,3055
1600,3057
1601,3057
1602,3058
1603,3058
1604,3059
1605,3059
1606,3063
1607,3063
1608,3064
1609,3064
1610,3065
1611,3065
1612,3066
1613,3066
1614,3067
1615,3067
1616,3068
1617,3068
1618,3069
1619,3069
1620,3070
1621,3070
1622,3071
1623,3071
1624,3073
1625,3073
1626,3075
1627,3075
1628,3076
1629,3076
1630,3077
1631,3077
1632,3079
1633,3079
1634,3080
1635,3080
1636,3082
1637,3082
1638,3083
1639,3083
1640,3085
1641,3085
1642,3101
1643,3101
1644,3103
1645,3103
1646,3104
1647,3104
1648,3105
1649,3105
1650,3106
1651,3106
1652,3107
1653,3107
1654,3109
1655,3109
1656,3110
1657,3110
1658,3111
1659,3111
1660,3113
1661,3113
1662,3116
1663,3116
1664,3121
1665,3121
1666,3123
1667,3123
1668,3131
1669,3131
1670,3132
1671,3132
1672,3133
1673,3133
1674,3134
1675,3134
1676,3135
1677,3135
1678,3136
1679,3136
1680,3137
1681,3137
1682,3138
1683,3138
1684,3139
1685,3139
1686,3140
1687,3140
1688,3141
1689,3141
1690,3143
1691,3143
1692,3148
1693,3148
1694,3150
1695,3150
1696,3151
1697,3151
1698,3153
1699,3153
1700,3154
1701,3154
1702,3156
1703,3156
1704,3157
1705,3157
1706,3159
1707,3159
1708,3160
1709,3160
1710,3161
1711,3161
1712,3166
1713,3166
1714,3167
1715,3167
1716,3168
1717,3168
1718,3169
1719,3169
1720,3172
1721,3172
1722,3173
1723,3173
1724,3174
1725,3174
1726,3175
1727,3175
1728,3176
1729,3176
1730,3177
1731,3177
1732,3178
1733,3178
1734,3179
1735,3179
1736,3180
1737,3180
1738,3181
1739,3181
1740,3182
1741,3182
1742,3201
1743,3201
1744,3202
1745,3202
1746,3204
1747,3204
1748,3205
1749,3205
1750,3221
1751,3221
1752,3222
1753,3222
1754,3223
1755,3223
1756,3224
1757,3224
1758,3226
1759,3226
1760,3228
1761,3228
1762,3231
1763,3231
1764,3232
1765,3232
1766,3234
1767,3234
1768,3236
1769,3236
1770,3237
1771,3237
1772,3238
1773,3238
1774,3241
1775,3241
1776,3242
1777,3242
1778,3244
1779,3244
1780,3245
1781,3245
1782,3246
1783,3246
1784,3248
1785,3248
1786,3249
1787,3249
1788,3252
1789,3252
1790,3254
1791,3254
1792,3260
1793,3260
1794,3261
1795,3261
1796,3264
1797,3264
1798,3266
1799,3266
1800,3267
1801,3267
1802,3269
1803,3269
1804,3271
1805,3271
1806,3275
1807,3275
1808,3276
1809,3276
1810,3277
1811,3277
1812,3278
1813,3278
1814,3279
1815,3279
1816,3280
1817,3280
1818,3281
1819,3281
1820,3282
1821,3282
1822,3283
1823,3283
1824,3284
1825,3284
1826,3286
1827,3286
1828,3287
1829,3287
1830,3288
1831,3288
1832,3289
1833,3289
1834,3290
1835,3290
1836,3291
1837,3291
1838,3292
1839,3292
1840,3293
1841,3293
1842,3300
1843,3300
1844,3302
1845,3302
1846,3306
1847,3306
1848,3309
1849,3309
1850,3315
1851,3315
1852,3316
1853,3316
1854,3317
1855,3317
1856,3319
1857,3319
1858,3320
1859,3320
1860,3321
1861,3321
1862,3322
1863,3322
1864,3323
1865,3323
1866,3326
1867,3326
1868,3328
1869,3328
1870,3329
1871,3329
1872,3333
1873,3333
1874,3341
1875,3341
1876,3346
1877,3346
1878,3347
1879,3347
1880,3349
1881,3349
1882,3350
1883,3350
1884,3352
1885,3352
1886,3353
1887,3353
1888,3355
1889,3355
1890,3356
1891,3356
1892,3358
1893,3358
1894,3359
1895,3359
1896,3360
1897,3360
1898,3361
1899,3361
1900,3370
1901,3370
1902,3371
1903,3371
1904,3372
1905,3372
1906,3374
1907,3374
1908,3375
1909,3375
1910,3376
1911,3376
1912,3377
1913,3377
1914,3382
1915,3382
1916,3384
1917,3384
1918,3386
1919,3386
1920,3387
1921,3387
1922,3388
1923,3388
1924,3390
1925,3390
1926,3391
1927,3391
1928,3392
1929,3392
1930,3393
1931,3393
1932,3395
1933,3395
1934,3396
1935,3396
1936,3397
1937,3397
1938,3399
1939,3399
1940,3401
1941,3401
1942,3402
1943,3402
1944,3405
1945,3405
1946,3407
1947,3407
1948,3408
1949,3408
1950,3409
1951,3409
1952,3415
1953,3415
1954,3416
1955,3416
1956,3417
1957,3417
1958,3418
1959,3418
1960,3419
1961,3419
1962,3420
1963,3420
1964,3421
1965,3421
1966,3422
1967,3422
1968,3423
1969,3423
1970,3426
1971,3426
1972,3431
1973,3431
1974,3433
1975,3433
1976,3434
1977,3434
1978,3435
1979,3435
1980,3436
1981,3436
1982,3437
1983,3437
1984,3439
1985,3439
1986,3440
1987,3440
1988,3441
1989,3441
1990,3442
1991,3442
1992,3443
1993,3443
1994,3444
1995,3444
1996,3445
1997,3445
1998,3446
1999,3446
2000,3447
2001,3447
2002,3449
2003,3449
2004,3451
2005,3451
2006,3452
2007,3452
2008,3453
2009,3453
2010,3454
2011,3454
2012,3455
2013,3455
2014,3457
2015,3457
2016,3458
2017,3458
2018,3459
2019,3459
2020,3461
2021,3461
2022,3462
2023,3462
2024,3463
2025,3463
2026,3464
2027,3464
2028,3465
2029,3465
2030,3466
2031,3466
2032,3467
2033,3467
2034,3468
2035,3468
2036,3469
2037,3469
2038,3470
2039,3470
2040,3501
2041,3501
2042,3504
2043,3504
2044,3512
2045,3512
2046,3513
2047,3513
2048,3521
2049,3521
2050,3524
2051,3524
2052,3526
2053,3526
2054,3528
2055,3528
2056,3529
2057,3529
2058,3536
2059,3536
2060,3537
2061,3537
2062,3538
2063,3538
2064,3539
2065,3539
2066,3540
2067,3540
2068,3541
2069,3541
2070,3542
2071,3542
2072,3543
2073,3543
2074,3544
2075,3544
2076,3546
2077,3546
2078,3547
2079,3547
2080,3548
2081,3548
2082,3549
2083,3549
2084,3550
2085,3550
2086,3551
2087,3551
2088,3553
2089,3553
2090,3556
2091,3556
2092,3557
2093,3557
2094,3558
2095,3558
2096,3559
2097,3559
2098,3560
2099,3560
2100,3561
2101,3561
2102,3562
2103,3562
2104,3563
2105,3563
2106,3565
2107,3565
2108,3566
2109,3566
2110,3569
2111,3569
2112,3571
2113,3571
2114,3577
2115,3577
2116,3578
2117,3578
2118,3580
2119,3580
2120,3583
2121,3583
2122,3591
2123,3591
2124,3593
2125,3593
2126,3597
2127,3597
2128,3598
2129,3598
2130,3600
2131,3600
2132,3604
2133,3604
2134,3607
2135,3607
2136,3608
2137,3608
2138,3611
2139,3611
2140,3612
2141,3612
2142,3622
2143,3622
2144,3623
2145,3623
2146,3624
2147,3624
2148,3625
2149,3625
2150,3626
2151,3626
2152,3627
2153,3627
2154,3628
2155,3628
2156,3632
2157,3632
2158,3633
2159,3633
2160,3634
2161,3634
2162,3635
2163,3635
2164,3636
2165,3636
2166,3639
2167,3639
2168,3640
2169,3640
2170,3641
2171,3641
2172,3645
2173,3645
2174,3646
2175,3646
2176,3647
2177,3647
2178,3648
2179,3648
2180,3649
2181,3649
2182,3652
2183,3652
2184,3653
2185,3653
2186,3655
2187,3655
2188,3656
2189,3656
2190,3657
2191,3657
2192,3658
2193,3658
2194,3659
2195,3659
2196,3660
2197,3660
2198,3661
2199,3661
2200,3662
2201,3662
2202,3663
2203,3663
2204,3664
2205,3664
2206,3665
2207,3665
2208,3666
2209,3666
2210,3667
2211,3667
2212,3668
2213,3668
2214,3670
2215,3670
2216,3671
2217,3671
2218,3672
2219,3672
2220,3673
2221,3673
2222,3674
2223,3674
2224,3675
2225,3675
2226,3676
2227,3676
2228,3677
2229,3677
2230,3708
2231,3708
2232,3710
2233,3710
2234,3712
2235,3712
2236,3719
2237,3719
2238,3723
2239,3723
2240,3726
2241,3726
2242,3727
2243,3727
2244,3733
2245,3733
2246,3738
2247,3738
2248,3739
2249,3739
2250,3741
2251,3741
2252,3744
2253,3744
2254,3747
2255,3747
2256,3750
2257,3750
2258,3753
2259,3753
2260,3758
2261,3758
2262,3760
2263,3760
2264,3762
2265,3762
2266,3763
2267,3763
2268,3765
2269,3765
2270,3766
2271,3766
2272,3768
2273,3768
2274,3769
2275,3769
2276,3770
2277,3770
2278,3771
2279,3771
2280,3772
2281,3772
2282,3773
2283,3773
2284,3774
2285,3774
2286,3775
2287,3775
2288,3776
2289,3776
2290,3777
2291,3777
2292,3778
2293,3778
2294,3779
2295,3779
2296,3782
2297,3782
2298,3784
2299,3784
2300,3787
2301,3787
2302,3788
2303,3788
2304,3791
2305,3791
2306,3793
2307,3793
2308,3796
2309,3796
2310,3798
2311,3798
2312,3799
2313,3799
2314,3800
2315,3800
2316,3802
2317,3802
2318,3803
2319,3803
2320,3804
2321,3804
2322,3807
2323,3807
2324,3808
2325,3808
2326,3810
2327,3810
2328,3814
2329,3814
2330,3815
2331,3815
2332,3816
2333,3816
2334,3817
2335,3817
2336,3823
2337,3823
2338,3824
2339,3824
2340,3825
2341,3825
2342,3826
2343,3826
2344,3830
2345,3830
2346,3834
2347,3834
2348,3835
2349,3835
2350,3836
2351,3836
2352,3837
2353,3837
2354,3839
2355,3839
2356,3840
2357,3840
2358,3841
2359,3841
2360,3842
2361,3842
2362,3843
2363,3843
2364,3844
2365,3844
2366,3845
2367,3845
2368,3847
2369,3847
2370,3848
2371,3848
2372,3849
2373,3849
2374,3850
2375,3850
2376,3851
2377,3851
2378,3852
2379,3852
2380,3853
2381,3853
2382,3854
2383,3854
2384,3856
2385,3856
2386,3857
2387,3857
2388,3858
2389,3858
2390,3861
2391,3861
2392,3863
2393,3863
2394,3864
2395,3864
2396,3865
2397,3865
2398,3877
2399,3877
2400,3878
2401,3878
2402,3880
2403,3880
2404,3891
2405,3891
2406,3892
2407,3892
2408,3895
2409,3895
2410,3896
2411,3896
2412,3900
2413,3900
2414,3901
2415,3901
2416,3902
2417,3902
2418,3903
2419,3903
2420,3904
2421,3904
2422,3905
2423,3905
2424,3906
2425,3906
2426,3907
2427,3907
2428,3908
2429,3908
2430,3909
2431,3909
2432,3910
2433,3910
2434,3911
2435,3911
2436,3912
2437,3912
2438,3913
